prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERO,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,QUOTIDIANI AUDIPRESS
UDINE,Friuli,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,8,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,195
BOLOGNA,Emilia-Romagna,898,0,0,0,0,0,0,42,26,0,0,15,0,0,2,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,190,83,0,0,17,8,0,0,8,0,337
PIACENZA,Emilia-Romagna,254,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,106
REGGIO EMILIA,Emilia-Romagna,462,0,0,0,0,0,0,16,4,0,0,6,0,0,4,97,32,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,53,24,0,0,2,4,0,0,8,0,195
MODENA,Emilia-Romagna,618,0,0,0,0,0,0,20,5,0,0,1,0,0,0,4,34,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,68,18,0,0,7,1,0,0,4,0,198
PARMA,Emilia-Romagna,398,0,0,0,0,0,0,30,2,0,0,8,0,0,137,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,8,2,0,0,3,0,183
FERRARA,Emilia-Romagna,310,0,0,0,0,0,0,10,4,0,0,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,71,14,0,0,4,2,0,0,3,0,113
RAVENNA,Emilia-Romagna,345,0,0,0,0,0,0,22,5,0,0,13,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,24,0,0,14,20,0,0,7,0,154
FORLI',Emilia-Romagna,347,0,0,0,0,0,0,19,5,0,0,10,0,0,1,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,86,18,0,0,9,21,0,0,6,0,135
RIMINI,Emilia-Romagna,299,0,0,0,0,0,0,11,18,0,0,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,18,0,0,7,18,0,0,11,0,98
FIRENZE,Toscana,889,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,40,0,0,0,0,25,0,0,0,236
MASSA CARRARA,Toscana,174,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,2,0,0,0,0,26,0,0,0,64
LUCCA,Toscana,346,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,6,0,0,0,0,34,0,0,0,91
LIVORNO,Toscana,298,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,74,0,0,0,99
