prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLE ALPI,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERO,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA (CO/LC/SO),LA PROVINCIA (CR),LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TEMPO,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,LEGGO,METRO,QUOTIDIANI AUDIPRESS
ISERNIA,Molise,78,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,21
NAPOLI,Campania,2645,0,0,0,0,0,0,0,86,149,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,22,0,0,0,687
CASERTA,Campania,787,0,0,0,0,0,0,0,8,56,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,6,0,0,0,164
BENEVENTO,Campania,249,0,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,64
AVELLINO,Campania,376,0,0,0,0,0,0,0,16,21,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,9,0,0,0,125
SALERNO,Campania,964,0,0,0,0,0,0,0,27,26,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,28,0,0,0,217
BARI,Puglia,1102,0,0,0,0,0,0,0,31,33,0,0,0,0,153,0,0,55,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,15,0,0,0,0,14,0,0,0,259
FOGGIA,Puglia,547,0,0,0,0,0,0,0,11,11,0,0,0,0,76,0,0,32,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,10,0,0,0,0,3,0,0,0,117
TARANTO,Puglia,512,0,0,0,0,0,0,0,25,26,0,0,0,0,42,0,0,36,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,51,0,0,0,0,0,0,0,23,0,0,16,0,0,0,0,20,0,0,0,134
BRINDISI,Puglia,351,0,0,0,0,0,0,0,3,18,0,0,0,0,45,0,0,56,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,81,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,13,0,0,0,129
LECCE,Puglia,708,0,0,0,0,0,0,0,22,9,0,0,0,0,41,0,0,24,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,117,0,0,0,0,0,0,0,20,0,0,2,0,0,0,0,11,0,0,0,206
BARLETTA-ANDRIA-TRANI,Puglia,339,0,0,0,0,0,0,0,6,14,0,0,0,0,52,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,4,0,0,0,76
POTENZA,Basilicata,332,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
MATERA,Basilicata,177,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
REGGIO CALABRIA,Sicilia,484,0,0,0,0,0,0,0,40,18,0,0,0,0,0,0,0,30,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,157
COSENZA,Sicilia,631,0,0,0,0,0,0,0,18,32,0,0,0,0,0,0,0,42,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,143
CATANZARO,Sicilia,319,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,52
CROTONE,Sicilia,149,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,44
VIBO VALENTIA,Sicilia,142,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,29
PALERMO,Sicilia,1100,0,0,0,0,0,0,0,10,16,0,0,0,0,0,0,0,28,2,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,6,0,0,0,0,0,8,0,0,0,194
TRAPANI,Sicilia,381,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,13,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,10,0,0,0,45
AGRIGENTO,Sicilia,389,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,19,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,2,0,0,0,65
CALTANISSETTA,Sicilia,236,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,13,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,49,0,0,0,0,0,2,0,0,0,74
ENNA,Sicilia,150,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,36,0,0,0,0,0,0,0,0,0,48
RAGUSA,Sicilia,275,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,15,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,40,0,0,0,0,0,4,0,0,0,66
SIRACUSA,Sicilia,352,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,15,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,51,0,0,0,0,0,8,0,0,0,73
MESSINA,Sicilia,568,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,19,124,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,5,0,0,0,0,0,8,0,0,0,160
CATANIA,Sicilia,959,0,0,0,0,0,0,0,18,16,0,0,0,0,0,0,0,34,2,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,184,0,0,0,0,0,10,0,0,0,251
CAGLIARI,Sardegna,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,177
SASSARI,Sardegna,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,121
NUORO,Sardegna,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,71
ORISTANO,Sardegna,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,48
OLBIA-TEMPIO,Sardegna,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,70
OGLIASTRA,Sardegna,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,23
MEDIO CAMPIDANO,Sardegna,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,32
CARBONIA-IGLESIAS,Sardegna,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,42
