prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERO,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,QUOTIDIANI AUDIPRESS
TORINO,Piemonte,1994,0,0,0,0,0,0,43,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,295,0,0,60,0,415
AOSTA,Aosta,110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20,0,0,1,0,25
VERCELLI,Piemonte,152,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0,0,1,0,23
NOVARA,Piemonte,324,0,0,0,0,0,0,6,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,33,0,0,7,0,57
CUNEO,Piemonte,515,0,0,0,0,0,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,74,0,0,13,0,102
ASTI,Piemonte,190,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,28,0,0,5,0,38
ALESSANDRIA,Piemonte,376,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,29,0,0,1,0,52
BIELLA,Piemonte,157,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,22,0,0,1,0,30
VERBANIA,Piemonte,142,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,19,0,0,5,0,33
GENOVA,Liguria,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,9,0,0,0,0,186
LA SPEZIA,Liguria,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0,44
IMPERIA,Liguria,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,15,0,0,0,0,47
SAVONA,Liguria,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,36,0,0,0,0,69
MILANO,Lombardia,2873,0,0,0,26,0,0,268,0,0,0,0,0,0,0,102,0,0,28,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,65,0,0,70,0,0,49,0,0,0,26,0,550
VARESE,Lombardia,782,0,0,0,4,0,0,26,0,0,0,0,0,0,0,28,0,0,14,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,10,0,0,5,0,0,0,6,0,96
COMO,Lombardia,530,0,0,0,0,0,0,17,0,0,0,0,1,0,0,17,0,0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,2,0,0,6,0,0,0,4,0,66
SONDRIO,Lombardia,159,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,0,0,0,0,0,1,0,25
BERGAMO,Lombardia,970,0,0,0,6,0,0,54,0,0,256,0,0,0,0,68,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,24,0,0,10,0,0,0,4,0,338
BRESCIA,Lombardia,1104,0,0,0,15,0,0,43,0,0,1,0,0,0,0,55,0,0,10,236,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,27,0,0,13,0,0,0,6,0,325
PAVIA,Lombardia,485,0,0,0,1,0,0,31,0,0,0,0,0,0,0,20,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,69,5,0,0,16,0,0,8,0,0,0,2,0,133
CREMONA,Lombardia,316,0,0,0,2,0,0,14,0,0,1,0,3,0,0,10,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,2,0,40
MANTOVA,Lombardia,361,0,0,0,3,0,0,10,0,0,0,0,85,0,0,13,0,0,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,1,0,111
LECCO,Lombardia,296,0,0,0,1,0,0,10,0,0,0,0,0,0,0,8,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,4,0,0,0,4,0,40
LODI,Lombardia,201,0,0,0,0,0,0,15,0,0,0,0,0,0,0,7,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,0,0,3,0,0,0,1,0,48
