prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,GAZZETTA DI MANTOVA,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERO,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,QUOTIDIANI AUDIPRESS
LODI,Lombardia,201,0,0,0,1,0,0,17,0,0,0,0,0,0,10,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6,0,0,3,0,0,0,0,0,40
MONZA E DELLA BRIANZA,Lombardia,766,0,0,0,5,0,0,40,0,0,1,0,0,0,37,0,0,9,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,7,0,0,15,4,0,0,3,0,127
TRENTO,Trentino,472,129,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155
BOLZANO,Trentino,455,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
VENEZIA,Veneto,756,0,0,0,0,0,0,16,0,0,0,0,0,0,28,0,90,0,0,0,2,0,0,0,6,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,165
VERONA,Veneto,812,0,0,136,0,0,0,15,0,0,0,0,0,0,19,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176
VICENZA,Veneto,755,0,0,1,0,0,0,19,0,0,0,0,0,0,18,0,3,0,0,0,135,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,182
BELLUNO,Veneto,181,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
ROVIGO,Veneto,210,0,0,1,0,0,0,2,0,0,0,0,0,0,19,0,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
TREVISO,Veneto,776,0,0,0,0,0,0,16,0,0,0,0,0,0,24,0,76,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,169
PADOVA,Veneto,827,0,0,2,0,0,0,24,0,0,0,0,0,0,27,0,49,0,0,0,6,0,0,0,131,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,221
TRIESTE,Friuli,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,72
GORIZIA,Friuli,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,29
PORDENONE,Friuli,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
UDINE,Friuli,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,129
BOLOGNA,Emilia-Romagna,898,0,0,0,0,0,0,21,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,125,62,0,0,19,0,0,0,0,0,228
PIACENZA,Emilia-Romagna,254,0,0,0,0,0,0,14,0,0,0,0,1,0,11,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,99
REGGIO EMILIA,Emilia-Romagna,462,0,0,0,0,0,0,17,0,0,0,0,2,62,22,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,38,13,0,0,9,0,0,0,0,0,135
MODENA,Emilia-Romagna,618,0,0,0,0,0,0,22,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,1,72,0,0,0,0,0,0,0,48,13,0,0,10,0,0,0,0,0,165
PARMA,Emilia-Romagna,398,0,0,0,0,0,0,19,0,0,0,0,111,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,0,0,0,0,0,147
FERRARA,Emilia-Romagna,310,0,0,0,0,0,0,5,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,51,9,0,0,4,0,0,0,0,0,105
RAVENNA,Emilia-Romagna,345,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,0,0,2,0,0,0,0,0,51
FORLI',Emilia-Romagna,347,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,9,0,0,4,0,0,0,0,0,70
RIMINI,Emilia-Romagna,299,0,0,0,0,0,0,6,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,4,0,0,2,0,0,0,0,0,65
