prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA (CO/LC/SO),LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,LEGGO,QUOTIDIANI AUDIPRESS
MACERATA,Marche,281,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,68,1,0,0,0,0,0,0,0,0,0,111
ASCOLI PICENO,Marche,186,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,44,12,0,0,0,0,0,0,0,0,0,86
FERMO,Marche,154,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,43,1,0,0,0,0,0,0,0,0,0,88
PERUGIA,Umbria,580,0,0,0,0,0,0,0,39,115,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197
TERNI,Umbria,203,0,0,0,0,0,0,0,15,32,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
ROMA,Lazio,3789,0,0,0,0,0,0,184,343,1,0,71,0,0,0,0,113,0,0,43,0,0,0,0,0,0,620,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,63,0,0,0,48,0,393,1392
VITERBO,Lazio,282,0,0,0,0,0,0,4,21,38,0,4,0,0,0,0,12,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,4,0,0,64
RIETI,Lazio,140,0,0,0,0,0,0,6,14,29,0,3,0,0,0,0,9,0,0,2,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,5,0,3,54
LATINA,Lazio,501,0,0,0,0,0,0,17,32,0,0,4,0,0,0,0,18,0,0,4,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,3,0,0,0,3,0,6,103
FROSINONE,Lazio,435,0,0,0,0,0,0,11,29,0,0,2,0,0,0,0,17,0,0,9,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,0,0,0,5,0,4,98
