prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,QUOTIDIANI AUDIPRESS
MILANO,Lombardia,2841,0,0,0,23,0,0,349,0,0,0,0,0,0,0,0,191,0,0,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,119,0,0,118,0,0,49,0,0,0,32,0,773
VARESE,Lombardia,779,0,0,0,5,0,0,36,0,0,0,0,0,0,0,0,52,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,16,0,0,6,0,0,0,15,0,138
COMO,Lombardia,524,0,0,0,2,0,0,30,0,0,0,0,0,0,0,0,42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,16,0,0,2,0,0,0,15,0,102
SONDRIO,Lombardia,159,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,3,0,0,0,3,0,33
BERGAMO,Lombardia,965,0,0,0,9,0,0,46,0,0,363,0,0,0,0,0,151,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11,0,0,13,0,0,0,15,0,445
BRESCIA,Lombardia,1099,0,0,0,17,0,0,54,0,0,2,0,0,0,0,0,135,0,0,7,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,37,0,0,14,0,0,0,14,0,480
PAVIA,Lombardia,483,0,0,0,1,0,0,33,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,2,0,0,17,0,0,8,0,0,0,2,0,154
CREMONA,Lombardia,316,0,0,0,2,0,0,23,0,0,0,0,4,0,0,0,31,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,7,0,0,0,1,0,69
MANTOVA,Lombardia,361,0,0,0,2,0,0,13,0,0,0,0,142,0,0,0,39,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,4,0,0,0,0,0,167
LECCO,Lombardia,295,0,0,0,2,0,0,26,0,0,1,0,0,0,0,0,15,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,1,0,0,1,0,0,0,3,0,56
